Empresa,Año,ACTIVO FIJO,ACTIVO CORRIENTE,OTROS ACTIVOS,PASIVO A LARGO PLAZO,PASIVO CORRIENTE,OTROS PASIVOS,CAPITAL SOCIAL,OTROS PATRIMONIO,TOTAL PATRIMONIO,INGRESOS OPERACIONALES,OTROS INGRESOS,COSTOS Y GASTOS OPERACIONALES,OTROS GASTOS,UTILIDAD (PERDIDA) OPERACIONAL,PROVISION PARA IMPUESTOS,UTILIDAD (PERDIDA) NETA,TIPO_EMPRESA
         FAST COLOMBIA ,2019,1506115534,250447708.0,0,1300928679,429575146,0.0,8210270.0,0,26059417.0,765247109,0,894237424,0,-128990315,38923731,-163921892,COMERCIAL
         FAST COLOMBIA ,2020,1529341118,123488532.0,0,1643112114,359235930,0.0,8210270.0,0,-349518394.0,410841381,0,718934555,0,-308093174,0,-398843699,COMERCIAL
         FAST COLOMBIA ,2020.0,1529341118,123488532.0,0,1643112114,359235930,0.0,8210270.0,0,-349518394.0,410841381,0,718934555,0,-308093174,0,-398843699,COMERCIAL
         FAST COLOMBIA ,2021.0,-2147483648,307236280.0,0,-2147483648,679566639,0.0,8210270.0,0,-399427988.0,1021983263,0,972390576,0,49592687,57984306,6402712,COMERCIAL
4- EMPRESA AEREA DE SERVICIOS Y FACILITACIÓN LOGISTICA INTEGRAL SA - CLIC AIR,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,COMERCIAL
4- EMPRESA AEREA DE SERVICIOS Y FACILITACIÓN LOGISTICA INTEGRAL SA - CLIC AIR,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,COMERCIAL
AEROREPUBLICA - COPA AIRLINE COLOMBIA - ,2012,3878234,170262262.0,50808508,1304667,209503832,0.0,6982568.0,103994935,14140505.0,682162106,0,675632061,5241469,6530045,2812470,-1523894,COMERCIAL
AEROREPUBLICA - COPA AIRLINE COLOMBIA - ,2013,4059830,208194258.0,49080473,765077,205933723,0.0,6982568.0,103988186,54635761.0,752063797,14764406,711503006,14823192,40560791,0,40502005,COMERCIAL
AEROREPUBLICA - COPA AIRLINE COLOMBIA - ,2013.0,4059830,208194258.0,49080473,765077,205933723,0.0,6982568.0,103988186,54635761.0,752063797,14764406,711503006,14823192,40560791,0,40502005,COMERCIAL
AEROREPUBLICA - COPA AIRLINE COLOMBIA - ,2014,25623858,407968843.0,154991103,99914173,406096036,0.0,6982568.0,84834283,82573595.0,735379237,10926320,765213641,0,-29834404,7798914,-26706998,COMERCIAL
